공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00570155,KTR (충북) 글로벌 클린화장품 산업화 기반구축 전기공사,한국화학융합시험연구원,조달청 또는 나라장터 자체 공고건,KTR (충북) 글로벌 클린화장품 산업화 기반구축 전기공사,"KTR,충북,글로벌,클린화장품,산업화,기반구축,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-02-07 10:00:00,"['KTR', '충북', '글로벌', '클린화장품', '산업화', '기반구축', '전기공사']",bid_list_converted.csv
R25BK00570195,수성알파시티지점 신설 레이아웃 설비공사,중소기업은행,조달청 또는 나라장터 자체 공고건,수성알파시티지점 신설 레이아웃 설비공사,"수성알파시티지점,신설,레이아웃,설비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['수성알파시티지점', '신설', '레이아웃', '설비공사']",bid_list_converted.csv
R25BK00568818,2025년 금곡동 생활민원처리공사 단가계약,경기도 남양주시 금곡동,조달청 또는 나라장터 자체 공고건,2025년 금곡동 생활민원처리공사 단가계약,"2025년,금곡동,생활민원처리공사,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '금곡동', '생활민원처리공사', '단가계약']",bid_list_converted.csv
R25BK00570151,2025년 가로수 전정사업(1차),경상북도 성주군,조달청 또는 나라장터 자체 공고건,2025년 가로수 전정사업(1차),"2025년,가로수,전정사업,1차",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '가로수', '전정사업', '1차']",bid_list_converted.csv
R25BK00570010,"2025년 송수시설 긴급누수 복구공사(단가공사) [창원, 함안권]",경상남도 창원시 상수도사업소,조달청 또는 나라장터 자체 공고건,"2025년 송수시설 긴급누수 복구공사(단가공사) [창원, 함안권]","2025년,송수시설,긴급누수,복구공사,단가공사,창원,함안권",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '송수시설', '긴급누수', '복구공사', '단가공사', '창원', '함안권']",bid_list_converted.csv
R25BK00570228,수성알파시티지점 신설 레이아웃 통신공사,중소기업은행,조달청 또는 나라장터 자체 공고건,수성알파시티지점 신설 레이아웃 통신공사,"수성알파시티지점,신설,레이아웃,통신공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['수성알파시티지점', '신설', '레이아웃', '통신공사']",bid_list_converted.csv
R25BK00569355,천안부대초등학교 복도창호교체 및 기타공사,충청남도교육청 충청남도천안교육지원청,조달청 또는 나라장터 자체 공고건,천안부대초등학교 복도창호교체 및 기타공사,"천안부대초등학교,복도창호교체,기타공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['천안부대초등학교', '복도창호교체', '기타공사']",bid_list_converted.csv
R25BK00569755,2025년 동탄권 과속방지턱 설치 및 정비공사(단가),경기도 화성시 동탄출장소,조달청 또는 나라장터 자체 공고건,2025년 동탄권 과속방지턱 설치 및 정비공사(단가),"2025년,동탄권,과속방지턱,설치,정비공사,단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '동탄권', '과속방지턱', '설치', '정비공사', '단가']",bid_list_converted.csv
R25BK00570153,조봉초 실개조 및 기타 내부환경개선 전기공사 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청,조달청 또는 나라장터 자체 공고건,조봉초 실개조 및 기타 내부환경개선 전기공사 수의계약 안내공고,"조봉초,실개조,기타,내부환경개선,전기공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['조봉초', '실개조', '기타', '내부환경개선', '전기공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00570230,관산 삼산간척지 3지구 간이배수펌프장 설치공사,전라남도 장흥군,조달청 또는 나라장터 자체 공고건,관산 삼산간척지 3지구 간이배수펌프장 설치공사,"관산,삼산간척지,3지구,간이배수펌프장,설치공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['관산', '삼산간척지', '3지구', '간이배수펌프장', '설치공사']",bid_list_converted.csv
R25BK00569856,소태역 환승주차장 피뢰설비 설치공사 수의시담 안내,광주교통공사,조달청 또는 나라장터 자체 공고건,소태역 환승주차장 피뢰설비 설치공사 수의시담 안내,"소태역,환승주차장,피뢰설비,설치공사,수의시담,안내",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 14:00:00,"['소태역', '환승주차장', '피뢰설비', '설치공사', '수의시담', '안내']",bid_list_converted.csv
R25BK00569849,진해남중학교 그린스마트 미래학교 본관동 리모델링 건축공사,경상남도교육청 경상남도창원교육지원청 진해남중학교,조달청 또는 나라장터 자체 공고건,진해남중학교 그린스마트 미래학교 본관동 리모델링 건축공사,"진해남중학교,그린스마트,미래학교,본관동,리모델링,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 14:00:00,"['진해남중학교', '그린스마트', '미래학교', '본관동', '리모델링', '건축공사']",bid_list_converted.csv
R25BK00570249,아산면 계산지구 소규모 배수개선사업,전북특별자치도 고창군,조달청 또는 나라장터 자체 공고건,아산면 계산지구 소규모 배수개선사업,"아산면,계산지구,소규모,배수개선사업",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 15:00:00,"['아산면', '계산지구', '소규모', '배수개선사업']",bid_list_converted.csv
R25BK00570272,청송읍 금곡2리 갈비곡저수지 준설공사,경상북도 청송군,조달청 또는 나라장터 자체 공고건,청송읍 금곡2리 갈비곡저수지 준설공사,"청송읍,금곡2리,갈비곡저수지,준설공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['청송읍', '금곡2리', '갈비곡저수지', '준설공사']",bid_list_converted.csv
R25BK00570284,2025년 용두동 보안등 유지보수공사(단가계약) 입찰 공고,충청북도 제천시 용두동,조달청 또는 나라장터 자체 공고건,2025년 용두동 보안등 유지보수공사(단가계약) 입찰 공고,"2025년,용두동,보안등,유지보수공사,단가계약,입찰,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '용두동', '보안등', '유지보수공사', '단가계약', '입찰', '공고']",bid_list_converted.csv
R25BK00569684,원주삼육초등학교 멀티미디어관(예지관) 창호 교체 공사,강원특별자치도교육청 강원특별자치도원주교육지원청 원주삼육초등학교,조달청 또는 나라장터 자체 공고건,원주삼육초등학교 멀티미디어관(예지관) 창호 교체 공사,"원주삼육초등학교,멀티미디어관,예지관,창호,교체,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['원주삼육초등학교', '멀티미디어관', '예지관', '창호', '교체', '공사']",bid_list_converted.csv
R25BK00569251,"성서중학교 외 2교(성산초, 용산초) 대수선공사 및 기타공사",대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,"성서중학교 외 2교(성산초, 용산초) 대수선공사 및 기타공사","성서중학교,2교,성산초,용산초,대수선공사,기타공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['성서중학교', '2교', '성산초', '용산초', '대수선공사', '기타공사']",bid_list_converted.csv
R25BK00567393,유성생명과학고 바이오제약생명과 교육환경 개선 전기공사,대전광역시교육청 유성생명과학고등학교,조달청 또는 나라장터 자체 공고건,유성생명과학고 바이오제약생명과 교육환경 개선 전기공사,"유성생명과학고,바이오제약생명과,교육환경,개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-15 10:00:00,"['유성생명과학고', '바이오제약생명과', '교육환경', '개선', '전기공사']",bid_list_converted.csv
R25BK00570419, 2025년도 상반기 주정차금지구역 시설물(구조물) 설치 단가계약,경기도 남양주시,조달청 또는 나라장터 자체 공고건, 2025년도 상반기 주정차금지구역 시설물(구조물) 설치 단가계약,"2025년도,상반기,주정차금지구역,시설물,구조물,설치,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 10:00:00,"['2025년도', '상반기', '주정차금지구역', '시설물', '구조물', '설치', '단가계약']",bid_list_converted.csv
R25BK00569651,"2025년 송수시설 긴급누수 복구공사(단가공사) [마산, 진해권]",경상남도 창원시 상수도사업소,조달청 또는 나라장터 자체 공고건,"2025년 송수시설 긴급누수 복구공사(단가공사) [마산, 진해권]","2025년,송수시설,긴급누수,복구공사,단가공사,마산,진해권",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '송수시설', '긴급누수', '복구공사', '단가공사', '마산', '진해권']",bid_list_converted.csv
R25BK00570464,월봉초등학교 늘봄지원실 구축 및 늘봄 놀이공간조성 건축공사,광주광역시교육청 광주광역시서부교육지원청 월봉초등학교,조달청 또는 나라장터 자체 공고건,월봉초등학교 늘봄지원실 구축 및 늘봄 놀이공간조성 건축공사,"월봉초등학교,늘봄지원실,구축,늘봄,놀이공간조성,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['월봉초등학교', '늘봄지원실', '구축', '늘봄', '놀이공간조성', '건축공사']",bid_list_converted.csv
R25BK00570356,서울삼육고등학교 고교학점제 공간조성사업 전기공사,경기도교육청 서울삼육고등학교,조달청 또는 나라장터 자체 공고건,서울삼육고등학교 고교학점제 공간조성사업 전기공사,"서울삼육고등학교,고교학점제,공간조성사업,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['서울삼육고등학교', '고교학점제', '공간조성사업', '전기공사']",bid_list_converted.csv
R25BK00570025,"동호초 늘봄교실, 늘봄전담실, 실내놀이공간 2실 리모델링 공사 소액수의 견적제출 공고",강원특별자치도교육청 강원특별자치도동해교육지원청 동호초등학교,조달청 또는 나라장터 자체 공고건,"동호초 늘봄교실, 늘봄전담실, 실내놀이공간 2실 리모델링 공사 소액수의 견적제출 공고","동호초,늘봄교실,늘봄전담실,실내놀이공간,2실,리모델링,공사,소액수의,견적제출,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['동호초', '늘봄교실', '늘봄전담실', '실내놀이공간', '2실', '리모델링', '공사', '소액수의', '견적제출', '공고']",bid_list_converted.csv
R25BK00570504,2025년 상반기 하수도 준설공사 단가계약(1구역),경상북도 구미시 상하수도사업본부,조달청 또는 나라장터 자체 공고건,2025년 상반기 하수도 준설공사 단가계약(1구역),"2025년,상반기,하수도,준설공사,단가계약,1구역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-17 14:00:00,"['2025년', '상반기', '하수도', '준설공사', '단가계약', '1구역']",bid_list_converted.csv
R25BK00570481,2025년 보안등 B구역 유지보수공사(연간단가),서울특별시 강남구,조달청 또는 나라장터 자체 공고건,2025년 보안등 B구역 유지보수공사(연간단가),"2025년,보안등,B구역,유지보수공사,연간단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '보안등', 'B구역', '유지보수공사', '연간단가']",bid_list_converted.csv
R25BK00570221,계성초등학교 본관동 및 강당동 내진보강 전기공사,대구광역시동부교육청 계성초등학교,조달청 또는 나라장터 자체 공고건,계성초등학교 본관동 및 강당동 내진보강 전기공사,"계성초등학교,본관동,강당동,내진보강,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 14:00:00,"['계성초등학교', '본관동', '강당동', '내진보강', '전기공사']",bid_list_converted.csv
R25BK00570392,서울대학교 기초과학공동기기원 MRI실 구축 공사(건축),서울대학교 부속시설 기초과학공동기기원,조달청 또는 나라장터 자체 공고건,서울대학교 기초과학공동기기원 MRI실 구축 공사(건축),"서울대학교,기초과학공동기기원,MRI실,구축,공사,건축",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['서울대학교', '기초과학공동기기원', 'MRI실', '구축', '공사', '건축']",bid_list_converted.csv
R25BK00569964,서울여성플라자 1층 국제회의장 공간개선 건축공사,서울특별시 여성가족재단,조달청 또는 나라장터 자체 공고건,서울여성플라자 1층 국제회의장 공간개선 건축공사,"서울여성플라자,1층,국제회의장,공간개선,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['서울여성플라자', '1층', '국제회의장', '공간개선', '건축공사']",bid_list_converted.csv
R25BK00570143,2025년도 교통안전시설물(부평권역) 설치공사(단가계약),인천광역시 부평구,조달청 또는 나라장터 자체 공고건,2025년도 교통안전시설물(부평권역) 설치공사(단가계약),"2025년도,교통안전시설물,부평권역,설치공사,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년도', '교통안전시설물', '부평권역', '설치공사', '단가계약']",bid_list_converted.csv
R25BK00570524,목련초등학교 AI팩토리 환경개선공사(전기) 수의계약 안내공고,광주광역시서부교육청 목련초등학교,조달청 또는 나라장터 자체 공고건,목련초등학교 AI팩토리 환경개선공사(전기) 수의계약 안내공고,"목련초등학교,AI팩토리,환경개선공사,전기,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['목련초등학교', 'AI팩토리', '환경개선공사', '전기', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00570507,2025년도 교통안전시설물(삼산권역) 설치공사(단가계약),인천광역시 부평구,조달청 또는 나라장터 자체 공고건,2025년도 교통안전시설물(삼산권역) 설치공사(단가계약),"2025년도,교통안전시설물,삼산권역,설치공사,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['2025년도', '교통안전시설물', '삼산권역', '설치공사', '단가계약']",bid_list_converted.csv
R25BK00570473,고성산 둘레길 금강사 일원 목계단 설치공사,경상북도 김천시,조달청 또는 나라장터 자체 공고건,고성산 둘레길 금강사 일원 목계단 설치공사,"고성산,둘레길,금강사,일원,목계단,설치공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['고성산', '둘레길', '금강사', '일원', '목계단', '설치공사']",bid_list_converted.csv
R25BK00570515,2025년도 상반기 주정차금지구역 시설물(도색) 설치 단가계약,경기도 남양주시,조달청 또는 나라장터 자체 공고건,2025년도 상반기 주정차금지구역 시설물(도색) 설치 단가계약,"2025년도,상반기,주정차금지구역,시설물,도색,설치,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 10:00:00,"['2025년도', '상반기', '주정차금지구역', '시설물', '도색', '설치', '단가계약']",bid_list_converted.csv
R25BK00570589,서울대학교 기초과학공동기기원 MRI실 공간 구축 공사 (기계) ,서울대학교 부속시설 기초과학공동기기원,조달청 또는 나라장터 자체 공고건,서울대학교 기초과학공동기기원 MRI실 공간 구축 공사 (기계) ,"서울대학교,기초과학공동기기원,MRI실,공간,구축,공사,기계",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['서울대학교', '기초과학공동기기원', 'MRI실', '공간', '구축', '공사', '기계']",bid_list_converted.csv
R25BK00562879,2025년 상반기 불·소출수 등 급수공사(남부권) 단가계약,경기도 부천시,조달청 또는 나라장터 자체 공고건,2025년 상반기 불·소출수 등 급수공사(남부권) 단가계약,"2025년,상반기,소출수,급수공사,남부권,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '상반기', '소출수', '급수공사', '남부권', '단가계약']",bid_list_converted.csv
R25BK00569428,2025년 상반기 불·소출수 등 급수공사(북부권) 단가계약,경기도 부천시,조달청 또는 나라장터 자체 공고건,2025년 상반기 불·소출수 등 급수공사(북부권) 단가계약,"2025년,상반기,소출수,급수공사,북부권,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '상반기', '소출수', '급수공사', '북부권', '단가계약']",bid_list_converted.csv
R25BK00570562,2025년 상반기 하수도 준설공사 단가계약(2구역),경상북도 구미시 상하수도사업본부,조달청 또는 나라장터 자체 공고건,2025년 상반기 하수도 준설공사 단가계약(2구역),"2025년,상반기,하수도,준설공사,단가계약,2구역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-17 18:00:00,"['2025년', '상반기', '하수도', '준설공사', '단가계약', '2구역']",bid_list_converted.csv
R25BK00570268,2025년 선원면 보안등 유지보수공사 ,인천광역시 강화군 선원면,조달청 또는 나라장터 자체 공고건,2025년 선원면 보안등 유지보수공사 ,"2025년,선원면,보안등,유지보수공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 15:00:00,"['2025년', '선원면', '보안등', '유지보수공사']",bid_list_converted.csv
R25BK00570483,조봉초 실개조 및 기타 내부환경개선 통신공사 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청,조달청 또는 나라장터 자체 공고건,조봉초 실개조 및 기타 내부환경개선 통신공사 수의계약 안내공고,"조봉초,실개조,기타,내부환경개선,통신공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['조봉초', '실개조', '기타', '내부환경개선', '통신공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00570666,서울대학교 기초과학공동기기원 MRI실 공간 구축 공사 (전기) 입찰공고,서울대학교 부속시설 기초과학공동기기원,조달청 또는 나라장터 자체 공고건,서울대학교 기초과학공동기기원 MRI실 공간 구축 공사 (전기) 입찰공고,"서울대학교,기초과학공동기기원,MRI실,공간,구축,공사,전기,입찰공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['서울대학교', '기초과학공동기기원', 'MRI실', '공간', '구축', '공사', '전기', '입찰공고']",bid_list_converted.csv
R25BK00570259,서울여성플라자 1층 국제회의장 공간개선 전기공사,서울특별시 여성가족재단,조달청 또는 나라장터 자체 공고건,서울여성플라자 1층 국제회의장 공간개선 전기공사,"서울여성플라자,1층,국제회의장,공간개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['서울여성플라자', '1층', '국제회의장', '공간개선', '전기공사']",bid_list_converted.csv
R25BK00570646,목련초등학교 AI팩토리(미래교실) 환경개선공사(건축) 수의계약 안내공고,광주광역시서부교육청 목련초등학교,조달청 또는 나라장터 자체 공고건,목련초등학교 AI팩토리(미래교실) 환경개선공사(건축) 수의계약 안내공고,"목련초등학교,AI팩토리,미래교실,환경개선공사,건축,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['목련초등학교', 'AI팩토리', '미래교실', '환경개선공사', '건축', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00569885,경산과학고등학교 학생식당 개선공사 ,경상북도교육청 경산과학고등학교,조달청 또는 나라장터 자체 공고건,경산과학고등학교 학생식당 개선공사 ,"경산과학고등학교,학생식당,개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-15 14:00:00,"['경산과학고등학교', '학생식당', '개선공사']",bid_list_converted.csv
R25BK00570511,2025년 남동구 재난대비 긴급 도로유지보수공사(연간단가),인천광역시 종합건설본부,조달청 또는 나라장터 자체 공고건,2025년 남동구 재난대비 긴급 도로유지보수공사(연간단가),"2025년,남동구,재난대비,긴급,도로유지보수공사,연간단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '남동구', '재난대비', '긴급', '도로유지보수공사', '연간단가']",bid_list_converted.csv
R25BK00570626,2025년 보안등 C구역 유지보수공사(연간단가),서울특별시 강남구,조달청 또는 나라장터 자체 공고건,2025년 보안등 C구역 유지보수공사(연간단가),"2025년,보안등,C구역,유지보수공사,연간단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '보안등', 'C구역', '유지보수공사', '연간단가']",bid_list_converted.csv
R25BK00570638,2025년 가로수 전지공사(청북지구 등),경기도 평택시 안중출장소,조달청 또는 나라장터 자체 공고건,2025년 가로수 전지공사(청북지구 등),"2025년,가로수,전지공사,청북지구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '가로수', '전지공사', '청북지구']",bid_list_converted.csv
R25BK00570430,[긴급]서울포이초등학교 늘봄교실 및 기타실 조성공사 2인이상 수의계약 견적서 제출 안내 공고,서울특별시강남교육청 서울포이초등학교,조달청 또는 나라장터 자체 공고건,[긴급]서울포이초등학교 늘봄교실 및 기타실 조성공사 2인이상 수의계약 견적서 제출 안내 공고,"긴급,서울포이초등학교,늘봄교실,기타실,조성공사,2인이상,수의계약,견적서,제출,안내,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-15 15:00:00,"['긴급', '서울포이초등학교', '늘봄교실', '기타실', '조성공사', '2인이상', '수의계약', '견적서', '제출', '안내', '공고']",bid_list_converted.csv
R25BK00570631,오수 군립도서관 인테리어 건축공사 입찰 공고(긴급),전북특별자치도 임실군,조달청 또는 나라장터 자체 공고건,오수 군립도서관 인테리어 건축공사 입찰 공고(긴급),"오수,군립도서관,인테리어,건축공사,입찰,공고,긴급",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 10:00:00,"['오수', '군립도서관', '인테리어', '건축공사', '입찰', '공고', '긴급']",bid_list_converted.csv
R25BK00570322,2025년 진천읍 가로등·보안등 유지보수[단가계약],충청북도 진천군,조달청 또는 나라장터 자체 공고건,2025년 진천읍 가로등·보안등 유지보수[단가계약],"2025년,진천읍,가로등,보안등,유지보수,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '진천읍', '가로등', '보안등', '유지보수', '단가계약']",bid_list_converted.csv
R25BK00570660,반려동물산업학과 외 2개학과 실습실 환경개선 전기공사,대구한의대학교,조달청 또는 나라장터 자체 공고건,반려동물산업학과 외 2개학과 실습실 환경개선 전기공사,"반려동물산업학과,2개학과,실습실,환경개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,,"['반려동물산업학과', '2개학과', '실습실', '환경개선', '전기공사']",bid_list_converted.csv
R25BK00570789,전천 재해취약지 정비공사,강원특별자치도 동해시,조달청 또는 나라장터 자체 공고건,전천 재해취약지 정비공사,"전천,재해취약지,정비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['전천', '재해취약지', '정비공사']",bid_list_converted.csv
R25BK00570794,"도심형 스마트팜 조성사업(건축,기계)",경기도 광명시,조달청 또는 나라장터 자체 공고건,"도심형 스마트팜 조성사업(건축,기계)","도심형,스마트팜,조성사업,건축,기계",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['도심형', '스마트팜', '조성사업', '건축', '기계']",bid_list_converted.csv
R25BK00570786,2025년 가로수 전지공사(포승공단),경기도 평택시 안중출장소,조달청 또는 나라장터 자체 공고건,2025년 가로수 전지공사(포승공단),"2025년,가로수,전지공사,포승공단",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '가로수', '전지공사', '포승공단']",bid_list_converted.csv
R25BK00570791,테크노관 강의실 환경개선 공사(건축),국립금오공과대학교,조달청 또는 나라장터 자체 공고건,테크노관 강의실 환경개선 공사(건축),"테크노관,강의실,환경개선,공사,건축",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 12:00:00,"['테크노관', '강의실', '환경개선', '공사', '건축']",bid_list_converted.csv
R25BK00570644,2025년 LED 보안등 신설 및 교체공사(1권역),전라남도 고흥군,조달청 또는 나라장터 자체 공고건,2025년 LED 보안등 신설 및 교체공사(1권역),"2025년,LED,보안등,신설,교체공사,1권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['2025년', 'LED', '보안등', '신설', '교체공사', '1권역']",bid_list_converted.csv
R25BK00570766,2025년 상반기 도로 노면표시 정비 단가계약,광주광역시 북구,조달청 또는 나라장터 자체 공고건,2025년 상반기 도로 노면표시 정비 단가계약,"2025년,상반기,도로,노면표시,정비,단가계약",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['2025년', '상반기', '도로', '노면표시', '정비', '단가계약']",bid_list_converted.csv
R25BK00569397,서남센터 토목건축 시설물 보수 및 정비공사(연간단가),서울물재생시설공단,조달청 또는 나라장터 자체 공고건,서남센터 토목건축 시설물 보수 및 정비공사(연간단가),"서남센터,토목건축,시설물,보수,정비공사,연간단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['서남센터', '토목건축', '시설물', '보수', '정비공사', '연간단가']",bid_list_converted.csv
R25BK00570777,진해남중학교 그린스마트 미래학교 본관동 리모델링 소방공사,경상남도교육청 경상남도창원교육지원청 진해남중학교,조달청 또는 나라장터 자체 공고건,진해남중학교 그린스마트 미래학교 본관동 리모델링 소방공사,"진해남중학교,그린스마트,미래학교,본관동,리모델링,소방공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 10:00:00,"['진해남중학교', '그린스마트', '미래학교', '본관동', '리모델링', '소방공사']",bid_list_converted.csv
R25BK00570719,조봉초 실개조 및 기타 내부환경개선 소방공사 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청,조달청 또는 나라장터 자체 공고건,조봉초 실개조 및 기타 내부환경개선 소방공사 수의계약 안내공고,"조봉초,실개조,기타,내부환경개선,소방공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['조봉초', '실개조', '기타', '내부환경개선', '소방공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00569665,"전라남도교육청교육연수원 식당,주차장 증축 및 기타보수 전기공사",조달청 광주지방조달청,조달청 또는 나라장터 자체 공고건,"전라남도교육청교육연수원 식당,주차장 증축 및 기타보수 전기공사","전라남도교육청교육연수원,식당,주차장,증축,기타보수,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['전라남도교육청교육연수원', '식당', '주차장', '증축', '기타보수', '전기공사']",bid_list_converted.csv
R25BK00570759,치평초 AI팩토리(미래교실) 공사 수의계약 안내공고,광주광역시교육청 광주광역시서부교육지원청 치평초등학교,조달청 또는 나라장터 자체 공고건,치평초 AI팩토리(미래교실) 공사 수의계약 안내공고,"치평초,AI팩토리,미래교실,공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['치평초', 'AI팩토리', '미래교실', '공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00570849,중앙도서관 1관 열람실 환경개선 전기공사,충북대학교,조달청 또는 나라장터 자체 공고건,중앙도서관 1관 열람실 환경개선 전기공사,"중앙도서관,1관,열람실,환경개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 10:00:00,"['중앙도서관', '1관', '열람실', '환경개선', '전기공사']",bid_list_converted.csv
R25BK00570552,진해남중학교 그린스마트 미래학교 본관동 리모델링 통신공사,경상남도교육청 경상남도창원교육지원청 진해남중학교,조달청 또는 나라장터 자체 공고건,진해남중학교 그린스마트 미래학교 본관동 리모델링 통신공사,"진해남중학교,그린스마트,미래학교,본관동,리모델링,통신공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 10:00:00,"['진해남중학교', '그린스마트', '미래학교', '본관동', '리모델링', '통신공사']",bid_list_converted.csv
R25BK00570832,2025년 보호구역 유지보수 단가공사(제주시) (사업소),제주특별자치도,조달청 또는 나라장터 자체 공고건,2025년 보호구역 유지보수 단가공사(제주시) (사업소),"2025년,보호구역,유지보수,단가공사,제주시,사업소",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-20 14:00:00,"['2025년', '보호구역', '유지보수', '단가공사', '제주시', '사업소']",bid_list_converted.csv
R25BK00570636,한국미래산업고등학교 실습실 리모델링 공사,경상북도교육청 한국미래산업고등학교,조달청 또는 나라장터 자체 공고건,한국미래산업고등학교 실습실 리모델링 공사,"한국미래산업고등학교,실습실,리모델링,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['한국미래산업고등학교', '실습실', '리모델링', '공사']",bid_list_converted.csv
