공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00580718,대구장동초등학교 환경개선공사,대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,대구장동초등학교 환경개선공사,"대구장동초등학교,환경개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['대구장동초등학교', '환경개선공사']",bid_list_converted.csv
R25BK00583446,영천초 바닥보수공사 제한입찰 공고,광주광역시교육청 광주광역시서부교육지원청,조달청 또는 나라장터 자체 공고건,영천초 바닥보수공사 제한입찰 공고,"영천초,바닥보수공사,제한입찰,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['영천초', '바닥보수공사', '제한입찰', '공고']",bid_list_converted.csv
R25BK00580734,대구대봉초등학교 외 1교(대구중) 환경개선 전기공사,대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,대구대봉초등학교 외 1교(대구중) 환경개선 전기공사,"대구대봉초등학교,1교,대구중,환경개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['대구대봉초등학교', '1교', '대구중', '환경개선', '전기공사']",bid_list_converted.csv
R25BK00583938,장산초 관사 및 다목적강당 드라이비트 교체공사,전라남도교육청 전라남도신안교육지원청,조달청 또는 나라장터 자체 공고건,장산초 관사 및 다목적강당 드라이비트 교체공사,"장산초,관사,다목적강당,드라이비트,교체공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['장산초', '관사', '다목적강당', '드라이비트', '교체공사']",bid_list_converted.csv
R25BK00583945,소나무재선충병 방제사업(2차)(용상성곡송천지구) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(용상성곡송천지구) - 수의시담,"소나무재선충병,방제사업,2차,용상성곡송천지구,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 12:00:00,"['소나무재선충병', '방제사업', '2차', '용상성곡송천지구', '수의시담']",bid_list_converted.csv
R25BK00577120,2025년 상록구 2구역(북부권) 공영주차장 및 일방통행로 시설물 연간 유지보수공사,경기도 안산시 상록구,조달청 또는 나라장터 자체 공고건,2025년 상록구 2구역(북부권) 공영주차장 및 일방통행로 시설물 연간 유지보수공사,"2025년,상록구,2구역,북부권,공영주차장,일방통행로,시설물,연간,유지보수공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['2025년', '상록구', '2구역', '북부권', '공영주차장', '일방통행로', '시설물', '연간', '유지보수공사']",bid_list_converted.csv
R25BK00582330,청북읍 어연리 355-4번지 일원 소교량 정비공사,경기도 평택시,조달청 또는 나라장터 자체 공고건,청북읍 어연리 355-4번지 일원 소교량 정비공사,"청북읍,어연리,355,4번지,일원,소교량,정비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 12:00:00,"['청북읍', '어연리', '355', '4번지', '일원', '소교량', '정비공사']",bid_list_converted.csv
R25BK00583120,안중읍 성해리 531번지 일원 소교량 정비공사,경기도 평택시,조달청 또는 나라장터 자체 공고건,안중읍 성해리 531번지 일원 소교량 정비공사,"안중읍,성해리,531번지,일원,소교량,정비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 12:00:00,"['안중읍', '성해리', '531번지', '일원', '소교량', '정비공사']",bid_list_converted.csv
R25BK00583952,소나무재선충병 방제사업(2차)(신흥도로구미지구) - 수의시담,경상북도 안동시,조달청 또는 나라장터 자체 공고건,소나무재선충병 방제사업(2차)(신흥도로구미지구) - 수의시담,"소나무재선충병,방제사업,2차,신흥도로구미지구,수의시담",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-16 14:00:00,"['소나무재선충병', '방제사업', '2차', '신흥도로구미지구', '수의시담']",bid_list_converted.csv
R25BK00583934,서구 실버복합문화센터 건립 기계설비공사,부산광역시 서구,조달청 또는 나라장터 자체 공고건,서구 실버복합문화센터 건립 기계설비공사,"서구,실버복합문화센터,건립,기계설비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-22 10:00:00,"['서구', '실버복합문화센터', '건립', '기계설비공사']",bid_list_converted.csv
R25BK00583940,2025년 불량맨홀 유지보수 단가계약 시청권역,경기도 남양주시 도로관리사업소,조달청 또는 나라장터 자체 공고건,2025년 불량맨홀 유지보수 단가계약 시청권역,"2025년,불량맨홀,유지보수,단가계약,시청권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '불량맨홀', '유지보수', '단가계약', '시청권역']",bid_list_converted.csv
R25BK00583942,2025년도 상수도 긴급보수 단가계약(2권역),강원특별자치도 강릉시 상하수도사업소,조달청 또는 나라장터 자체 공고건,2025년도 상수도 긴급보수 단가계약(2권역),"2025년도,상수도,긴급보수,단가계약,2권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년도', '상수도', '긴급보수', '단가계약', '2권역']",bid_list_converted.csv
